created_at,entry_id,Temperature,PH,Turbidity,Flow,TDS,Pressure,Volume,Colar
2022-02-10 05:54:37 UTC,238,21.06,6.11,1888.3,0,0,502.47,0.7,5934
2022-02-10 06:17:15 UTC,239,22.06,4.22,0,0,0,573.2,5.19,4826
2022-02-10 06:17:42 UTC,240,22.06,4.41,0,3,0,571.89,5.16,4437
2022-02-10 06:18:10 UTC,241,22.06,4.38,3000,3,0,571.41,3.05,4422
2022-02-10 06:18:37 UTC,242,22.06,4.36,3000,0,0,571.26,0.65,3593
2022-02-10 06:19:07 UTC,243,22.06,4.4,2995.61,0,0,570.87,0.6,3865
2022-02-10 06:19:34 UTC,244,22.06,8.88,2172.46,2,0,564.56,0.75,6184
2022-02-10 06:20:43 UTC,245,22.13,7.2,2312.32,2,195.22,559.8,0.9,6073
2022-02-10 06:21:10 UTC,246,22.13,6.07,2142.95,2,386.2,557.72,1.03,6231
2022-02-10 06:21:41 UTC,247,22.19,6.62,2142.95,2,385.67,556.5,1.05,6074
2022-02-10 06:22:08 UTC,248,22.13,6.5,2112.92,2,434.43,552.1,1.13,6063
2022-02-10 06:23:11 UTC,249,22.13,5.45,1784.32,0,435.81,544.21,1.32,6328
2022-02-10 06:23:38 UTC,250,22.13,5.16,2142.95,2,435.81,538.37,1.39,6262
2022-02-10 06:24:36 UTC,251,22.19,4.54,2364.67,0,443.51,530.78,1.67,7137
2022-02-10 06:25:04 UTC,252,22.13,4.78,2201.46,2,435.81,548.68,0.56,6289
2022-02-10 06:25:31 UTC,253,22.13,4.87,0,3,431.67,576.41,0.26,6170
2022-02-10 06:25:58 UTC,254,22.13,5.14,0,3,427.55,584.16,0.42,6152
2022-02-10 06:26:25 UTC,255,22.13,5.73,2112.92,3,424.82,583.22,0.52,6166
2022-02-10 06:26:42 UTC,256,22.13,5.59,2082.37,3,424.82,581.37,0.59,6072
2022-02-10 06:27:11 UTC,257,22.13,5.39,2142.95,3,424.82,576.93,0.66,6256
2022-02-10 06:27:39 UTC,258,22.13,4.98,2112.92,2,424.82,571.2,0.76,6187
2022-02-10 06:28:05 UTC,259,22.13,4.67,2112.92,2,424.82,566.83,0.81,6124
2022-02-10 06:28:23 UTC,260,22.13,4.82,2112.92,1,424.82,565.63,0.89,6329
2022-02-10 06:28:50 UTC,261,22.13,4.56,2142.95,2,424.82,562.76,0.92,6288
2022-02-10 06:29:29 UTC,262,22.13,5,2112.92,2,424.82,559.57,1.03,6339
2022-02-10 06:29:45 UTC,263,22.13,4.56,2112.92,0,424.82,555.8,1.09,6502
2022-02-10 06:30:13 UTC,264,22.13,4.34,0,2,424.82,552.47,1.16,6641
2022-02-10 06:30:40 UTC,265,22.13,4.58,282.29,2,422.1,549.21,1.18,6619
2022-02-10 06:31:08 UTC,266,22.13,4.89,972.8,1,422.1,545.72,1.25,6664
2022-02-10 06:31:35 UTC,267,22.13,5.23,590.57,1,422.1,541.79,1.34,6688
2022-02-10 06:31:51 UTC,268,22.13,5.25,1063.21,1,419.38,543.45,1.2,6694
2022-02-10 06:32:18 UTC,269,22.13,5.57,2229.95,2,405.95,571.62,0.35,6729
2022-02-11 06:52:18 UTC,109,23.38,7.97,2201.46,2,0,499.44,11.9,112
2022-02-11 06:52:40 UTC,110,23.38,7.98,0,2,0,499.63,11.9,105
2022-02-11 06:53:01 UTC,111,23.44,7.96,175.42,2,0,499.16,4.11,109
2022-02-11 06:53:16 UTC,112,23.44,8.04,121.21,2,0,499.14,11.9,107
2022-02-11 06:53:37 UTC,113,23.44,8.03,11.25,2,0,498.93,11.9,108
2022-02-11 06:53:58 UTC,114,23.44,8.07,0,2,0,498.49,11.89,109
2022-02-11 06:54:20 UTC,115,23.44,8.04,0,2,0,498.54,4.12,107
2022-02-11 06:54:41 UTC,116,23.44,7.63,0,2,0,499,11.89,101
2022-02-11 06:55:03 UTC,117,23.44,7.7,0,2,0,498.83,11.9,103
2022-02-11 06:55:24 UTC,118,24.06,6.25,0,1,0,500.37,4.12,97
2022-02-11 06:55:46 UTC,119,24.25,6.52,0,1,0,508.84,4.13,88
2022-02-11 06:56:01 UTC,120,24.31,6.61,0,1,0,509.35,4.12,90
2022-02-11 06:56:16 UTC,121,24.31,6.55,0,1,0,509.49,11.9,89
2022-02-11 06:56:32 UTC,122,24.25,6.32,0,1,0,510.19,11.9,91
2022-02-11 06:56:47 UTC,123,24.31,6.22,0,3,0,510.82,4.11,90
2022-02-11 06:57:09 UTC,124,24.31,6.47,0,3,800.6,510.66,11.9,88
2022-02-11 06:57:26 UTC,125,24.31,6.55,0,3,929.71,510.78,4.12,87
2022-02-11 06:57:42 UTC,126,24.31,6.56,0,3,959.78,510.75,11.9,173
2022-02-11 06:58:04 UTC,127,24.31,6.64,0,3,1025.37,509.97,11.9,90
2022-02-11 06:58:26 UTC,128,24.25,7.41,1784.32,3,1035.84,510.28,11.9,89
2022-02-11 06:58:47 UTC,129,24.25,7.33,2414.95,3,1035.84,509.7,11.9,91
2022-02-11 06:59:09 UTC,130,24.25,7.48,2804.63,3,1035.84,509.14,11.9,89
2022-02-11 06:59:30 UTC,131,24.25,7.65,3000,3,1022.26,510.2,11.9,88
2022-02-11 06:59:52 UTC,132,24.19,7.55,2922.31,3,953.77,509.3,11.9,88
2022-02-11 07:00:15 UTC,133,24.19,7.44,2832.28,3,0,508.92,4.11,88
2022-02-11 07:00:36 UTC,134,24.19,7.32,3000,2,0,510.07,11.9,90
2022-02-11 07:00:58 UTC,135,24.19,6.54,2229.95,2,0,510.62,11.9,89
2022-02-11 07:01:21 UTC,136,24.19,6.71,2338.75,2,0,510.82,11.9,89
2022-02-11 07:01:42 UTC,137,24.19,6.88,2312.32,2,0,510.52,11.9,89
2022-02-11 07:02:03 UTC,138,24.19,6.81,2312.32,2,0,510.9,11.89,91
2022-02-11 07:02:24 UTC,139,24.19,6.82,2312.32,2,344.21,511.15,11.9,94
2022-02-11 07:02:45 UTC,140,24.19,6.78,2312.32,2,848.1,511.46,11.89,96
2022-02-11 07:03:06 UTC,141,24.12,6.68,2285.38,2,955.84,510.68,11.9,89
2022-02-11 07:03:27 UTC,142,24.12,6.73,2257.92,2,1057.17,509.97,4.12,85
2022-02-11 07:03:49 UTC,143,24.12,6.8,2285.38,2,1105.65,509.26,4.11,101
2022-02-11 07:04:10 UTC,144,24.12,6.84,2172.46,1,1138.11,509.13,4.12,174
2022-02-11 07:04:31 UTC,145,24.12,6.86,2172.46,1,1162.26,509.69,11.9,83
2022-02-11 07:04:52 UTC,146,24.12,6.81,1955.05,1,1244.05,509.98,11.9,78
2022-02-11 07:05:13 UTC,147,24.12,6.82,1854.15,1,1270.25,508.98,11.89,76
